CCO,CHEMBL545
CCCCCCO,CHEMBL14085
CC(C)=O,CHEMBL14253
c1cscn1,CHEMBL15605
CC(N)=O,CHEMBL16081
CCCCC=O,CHEMBL18602
C1CCNC1,CHEMBL22830
CC(N)=S,CHEMBL38737
CCC(C)O,CHEMBL45462
CN(C)CCO,CHEMBL1135
CC(C)N,CHEMBL117080
CCOC=C,CHEMBL116745
CCOCCO,CHEMBL119596
ClCCBr,CHEMBL160255
CCCCBr,CHEMBL160949
COCC#C,CHEMBL162694
OCCCCO,CHEMBL171623
CNCCCN,CHEMBL174165
C1CNCCN1,CHEMBL1412
OCNC=O,CHEMBL268447
NCCCON,CHEMBL281021
CCCC=C,CHEMBL295337
ClCCNCCCl,CHEMBL913
CC(F)F,CHEMBL325493
CSCCCO,CHEMBL332887
CCNNCC,CHEMBL350303
CN=C=S,CHEMBL396000
CN(C)C,CHEMBL439723
C=CC#N,CHEMBL445612
BrCCBr,CHEMBL452370
OCC(S)CS,CHEMBL1597
ClCC=C,CHEMBL451126
OCCCBr,CHEMBL466545
C1CC1,CHEMBL1796999
ClCC=O,CHEMBL506976
C1CO1,CHEMBL1743219
C=CC=C,CHEMBL537970
NCCCF,CHEMBL1162286
NCC#N,CHEMBL1193997
NCCCl,CHEMBL1190279
BrCBr,CHEMBL1229889
CCCBr,CHEMBL1230095
O=C=O,CHEMBL1231871
S=C=S,CHEMBL1365180
OCC#C,CHEMBL1563026
NCCBr,CHEMBL1697693
ClC=C,CHEMBL2311071
SCC=C,CHEMBL3222024
NNCCO,CHEMBL3183346
C1CS1,CHEMBL3184935
COCCl,CHEMBL3185256
CCCCS,CHEMBL3188256
OCCCS,CHEMBL3234722
NCC#C,CHEMBL3263480
BrC#N,CHEMBL3561885
CC=CCO,CHEMBL116709
CC=CCO,CHEMBL118459
CC(N)CS,CHEMBL37279
N#CN1CCC1,CHEMBL8123
Cc1ccccc1,CHEMBL9113
NCc1ccccc1,CHEMBL522
c1c[nH]cn1,CHEMBL540
COC(C)=O,CHEMBL14079
CCC(N)CC,CHEMBL14178
CCC(O)=O,CHEMBL14021
c1cncnc1,CHEMBL15562
c1ncncn1,CHEMBL15698
c1cnccn1,CHEMBL15797
CCC(C)=O,CHEMBL15849
C1CCCCC1,CHEMBL15980
C1CCNCC1,CHEMBL15487
c1ccnnc1,CHEMBL15719
NCCNCCNCCN,CHEMBL609
OCc1ccccc1,CHEMBL720
CCCC(C)C,CHEMBL30909
CC1CCCC1,CHEMBL30940
C=CCCC=C,CHEMBL31747
CC(C)CCN,CHEMBL42003
CC(Cl)Cl,CHEMBL45079
CCCCNC=O,CHEMBL45466
CCCC(C)O,CHEMBL45065
CCC(O)CC,CHEMBL47100
CCNCCNCC,CHEMBL54723
NCCSSCCN,CHEMBL61350
CNCCCCNC,CHEMBL61621
CN1CCNCC1,CHEMBL1011
NCC(N)=O,CHEMBL86954
FC(F)Cl,CHEMBL116155
FC(F)=C,CHEMBL116020
CC(N)CO,CHEMBL116663
CSCCCCO,CHEMBL117865
OCCNCCO,CHEMBL119604
